-11,-7,0
-9,-7,0
-7,-7,0
-5,-7,0
-3,-7,0
-1,-7,0
1,-7,0
3,-7,0
5,-7,0
7,-7,0
9,-7,0
11,-7,0
-7,-5,0
-5,-5,0
-3,-5,0
-1,-5,0
1,-5,0
3,-5,0
5,-5,0
7,-5,0
-9,-3,0
-7,-3,0
-5,-3,0
-3,-3,0
-1,-3,0
1,-3,0
3,-3,0
5,-3,0
7,-3,0
9,-3,0
-11,-1,0
-9,-1,0
-7,-1,0
-5,-1,0
-3,-1,0
-1,-1,0
1,-1,0
3,-1,0
5,-1,0
7,-1,0
9,-1,0
11,-1,0
-13,0,0
13,0,0
15,0,0
-11,1,0
-9,1,0
-7,1,0
-5,1,0
-3,1,0
-1,1,0
1,1,0
3,1,0
5,1,0
7,1,0
9,1,0
11,1,0
-9,3,0
-7,3,0
-5,3,0
-3,3,0
-1,3,0
1,3,0
3,3,0
5,3,0
7,3,0
9,3,0
-7,5,0
-5,5,0
-3,5,0
-1,5,0
1,5,0
3,5,0
5,5,0
7,5,0
-11,7,0
-9,7,0
-7,7,0
-5,7,0
-3,7,0
-1,7,0
1,7,0
3,7,0
5,7,0
7,7,0
9,7,0
11,7,0
-5,-5,1
-3,-5,1
-1,-5,1
1,-5,1
3,-5,1
5,-5,1
-5,-3,1
-3,-3,1
-1,-3,1
1,-3,1
3,-3,1
5,-3,1
-5,-1,1
-3,-1,1
-1,-1,1
1,-1,1
3,-1,1
5,-1,1
-5,1,1
-3,1,1
-1,1,1
1,1,1
3,1,1
5,1,1
-5,3,1
-3,3,1
-1,3,1
1,3,1
3,3,1
5,3,1
-5,5,1
-3,5,1
-1,5,1
1,5,1
3,5,1
5,5,1
-3,-3,2
-1,-3,2
1,-3,2
3,-3,2
-3,-1,2
-1,-1,2
1,-1,2
3,-1,2
-3,1,2
-1,1,2
1,1,2
3,1,2
-3,3,2
-1,3,2
1,3,2
3,3,2
-1,-1,3
1,-1,3
-1,1,3
1,1,3
0,0,4
